"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","",""
"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","262","3.819","72.5","10.7","9.2","1.1","0.4",".",".","5.7","0.4",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","252","3.813","70.2","16.7","6.0","1.2",".",".","0.4","5.2","0.4",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","29","3.907","79.3","10.3","3.4",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"469","001","41","3.890","85.4","7.3","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"469","002","46","3.967","95.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","Course Total","87","3.931","90.8","4.6","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","48","3.815","70.8","18.8","4.2",".","2.1",".",".","2.1",".",".",".",".","2.1",".",".","."
"474","001","47","3.957","93.6","4.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","002","48","3.926","87.5","6.3","4.2",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","95","3.941","90.5","5.3","3.2",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"501
Special Topics","002","30","3.897","86.7","3.3","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","36","3.833","77.8","16.7","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"592
Research Experience in HDFS","001","15","3.982","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","002","58","3.974","96.6","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","001","33","3.952","87.9","3.0","3.0",".",".",".",".","3.0",".",".",".",".",".","3.0",".","."
"650","002","37","3.892","83.8","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","Course Total","70","3.919","85.7","7.1","4.3",".",".",".",".","1.4",".",".",".",".",".","1.4",".","."
"663
Developmental & Fam Assessment","001","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
Senior Thesis","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"725
Theory & Issues-Human Dev","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Ethnic/Racial Social Dev","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"766
Current Topics in HDFS","003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Attachment Thry & Relationship","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Capstone Smr in Prevention Sci","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","18","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"999","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
