"ALS","","","","","","","","","","","","","","","","","","","","",""
"SOIL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S/SD U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","",""
"SOIL SCI
908","Dept. Total","216","3.582","45.4","10.6","7.4","2.8","0.5","2.8","",".","21.3
5.6",".","",".","3.2","",".",".",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD
U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.647","55.6","11.1",".","11.1",".",".","",".",".  
22.2",".","",".",".","",".",".",".","."
"Sophomore","","38","3.599","50.0","18.4","5.3","5.3","2.6",".","",".","13.2
5.3",".","",".",".","",".",".",".","."
"Junior","","45","3.602","60.0","6.7","4.4","6.7",".","4.4","",".","13.3
4.4",".","",".",".","",".",".",".","."
"Senior","","58","3.576","55.2","10.3","8.6",".",".","5.2","",".","10.3
8.6",".","",".",".","",".",".",".","1.7"
"Undergraduates","","150","3.594","55.3","11.3","6.0","4.0","0.7","3.3","",".","11.3
7.3",".","",".",".","",".",".",".","0.7"
"Special","","7","3.200","42.9",".","14.3",".",".","14.3","",".","14.3
14.3",".","",".",".","",".",".",".","."
"Graduate","","59","3.614","20.3","10.2","10.2",".",".",".","",".","47.5
.",".","",".","11.9","",".",".",".","."
"","Dept. Total","216","3.582","45.4","10.6","7.4","2.8","0.5","2.8","",".","21.3
5.6",".","",".","3.2","",".",".",".","0.5"
