"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"Intro to Financial Mgmnt","700
040","","42","3.902","78.6","19.0",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","","11","3.778","45.5","36.4",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","740
001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","745
001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","745
041","","51","3.790","56.9","41.2",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Multinational Bus Finance","Course Total","","60","3.771","53.3","45.0",".",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","","25","3.614","40.0","28.0","20.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","757
030","","41","3.563","29.3","51.2","17.1",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","757
031","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","Course Total","","51","3.600","37.3","45.1","13.7","2.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"","765
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
040","","42","3.756","54.8","31.0","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","60","3.848","66.7","21.7","5.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","Course Total","","2","***","","","","","","","","","","","","","","","",""
