"Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"990","097","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","099","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","101","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","110","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","130","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","133","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","134","","1","***","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","31","",".",".",".",".",".",".",".","87.1
.",".",".","12.9",".",".",".","."
