"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","",""
"125
Community and Social Change","001","","70","3.831","78.6","12.9","4.3",".",".",".","1.4","2.9
.",".",".",".",".",".",".","."
"130
Community Newswriting","001","","43","3.953","95.3","2.3",".","2.3",".",".",".",".   
.",".",".",".",".",".",".","."
"254
CNPL Leadership Symposium","001","","110","3.943","86.4","9.1","0.9",".",".",".",".","0.9
1.8",".",".",".","0.9",".",".","."
"299
Independent Study","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","47","3.933","83.0","12.8",".",".",".",".",".",".   
.",".",".",".","4.3",".",".","."
"345
Evaluation and Planning","001","","28","3.750","71.4","10.7","7.1",".",".","3.6",".","7.1
.",".",".",".",".",".",".","."
"375
Special Topics","001","","32","3.783","78.1","9.4","3.1",".",".",".","3.1","6.3
.",".",".",".",".",".",".","."
"460
Civil Soc & Commnty Leadership","001","","27","3.460","51.9","14.8","14.8","3.7","3.7",".","3.7","7.4
.",".",".",".",".",".",".","."
"570
Community Based Resrch & Eval","001","","29","3.063","34.5","6.9","10.3","17.2","3.4","10.3",".","6.9
10.3",".",".",".",".",".",".","."
"600
Community Issues and Action","001","","34","3.810","67.6","8.8","2.9","5.9",".",".",".","11.8
2.9",".",".",".",".",".",".","."
"601
Internship","001","","25","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","004","","26","3.943","92.3","7.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","059","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","39","3.968","94.9","5.1",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"785
Civic Development","001","","14","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"801
Civil Soc & Community Research","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"813
Transformative Evaluation","001","","10","3.563","30.0","30.0","20.0",".",".",".",".",".   
.",".",".",".",".",".","20.0","."
"990","005","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","94.4
.",".",".","5.6",".",".",".","."
"999","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","060","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","",""
