"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","",""
"","854
013","24","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","854
014","45","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","854
015","14","",".",".",".",".",".",".",".","78.6
.",".",".",".",".",".",".","21.4"
"","854
016","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","854
017","4","***","","","","","","","","",".",".",".",".",".",".","."
"","854
018","1","***","","","","","","","","",".",".",".",".",".",".","."
"","854
019","11","",".",".",".",".",".",".",".","81.8
.",".",".",".",".",".",".","18.2"
"","854
020","6","",".",".",".",".",".",".",".","83.3
.",".",".",".",".",".",".","16.7"
"Clinical Program","Course Total","193","",".",".",".",".",".",".",".","92.7
.",".",".",".",".",".",".","7.3"
"Advanced Criminal Procedure","860
001","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","17","",".",".",".",".",".",".",".","94.1
.",".",".",".",".",".",".","5.9"
"State and Local Taxation","868
001","4","***","","","","","","","","",".",".",".",".",".",".","."
"International Tax","870
001","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"International Trade Law","871
001","21","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","61","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","32","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Law Review","899
001","78","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","904
001","18","2.000",".",".",".",".","5.6",".",".","94.4
.",".",".",".",".",".",".","."
"","904
002","56","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","74","2.000",".",".",".",".","1.4",".",".","98.6
.",".",".",".",".",".",".","."
"Securities Regulation","914
001","27","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
001","4","***","","","","","","","","",".",".",".",".",".",".","."
"","918
001","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","918
002","14","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","22","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
001","12","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","11","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
001","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
002","27","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
003","18","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
004","61","3.000",".",".","1.6",".",".",".",".","98.4
.",".",".",".",".",".",".","."
"","940
005","24","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
006","14","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
007","25","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
008","34","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
009","34","",".",".",".",".",".",".",".","2.9
.",".",".",".",".",".",".","97.1"
"","940
010","20","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
011","11","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","940
011","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","Section Total","18","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
