"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","79","3.857","65.8","20.3","2.5",".",".",".",".","8.9",".",".",".",".","2.5",".",".","."
"","101
002","80","3.797","66.3","18.8","5.0","1.3","1.3",".",".","5.0",".",".",".",".","2.5",".",".","."
"","101
003","76","3.325","15.8","47.4","14.5","1.3",".",".","3.9","15.8","1.3",".",".",".",".",".",".","."
"","101
004","79","3.272","15.2","27.8","24.1","1.3",".","2.5","1.3","19.0","3.8",".",".",".",".",".","5.1","."
"","101
005","64","3.321","12.5","42.2","29.7","1.6",".",".","1.6","7.8","3.1",".",".",".",".","1.6",".","."
"","101
007","58","3.405","27.6","24.1","13.8","3.4",".","1.7","1.7","25.9","1.7",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","436","3.525","35.1","29.8","14.4","1.4","0.2","0.7","1.4","13.3","1.6",".",".",".","0.9","0.2","0.9","."
"Spec Topics:Philos-Freshmen","104
001","20","3.579","35.0","40.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"The Meaning of Life","141
001","88","3.628","36.4","42.0","6.8","3.4",".",".",".","2.3",".",".",".",".",".",".","9.1","."
"Study Abroad in Philosophy","206
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reason in Communication","210
001","64","3.482","51.6","10.9","12.5","3.1","1.6","6.3",".","14.1",".",".",".",".",".",".",".","."
"","211
001","76","3.664","52.6","25.0","10.5","2.6",".","1.3",".","5.3","2.6",".",".",".",".",".",".","."
"","211
002","73","3.411","16.4","49.3","6.8",".",".","2.7","1.4","21.9","1.4",".",".",".",".",".",".","."
"","211
003","72","3.412","31.9","22.2","8.3","2.8",".","4.2","1.4","20.8","6.9",".",".",".","1.4",".",".","."
"Elementary Logic","Course Total","221","3.511","33.9","32.1","8.6","1.8",".","2.7","0.9","15.8","3.6",".",".",".","0.5",".",".","."
"","241
001","79","3.569","29.1","45.6","16.5",".",".",".",".","8.9",".",".",".",".",".",".",".","."
"","241
002","111","3.747","54.1","15.3","6.3","0.9","0.9","0.9",".","19.8","1.8",".",".",".",".",".",".","."
"","241
003","78","3.571","33.3","30.8","12.8","2.6","1.3",".",".","16.7","1.3",".",".",".",".","1.3",".","."
"Introductory Ethics","Course Total","268","3.640","40.7","28.7","11.2","1.1","0.7","0.4",".","15.7","1.1",".",".",".",".","0.4",".","."
"","341
001","158","3.788","58.2","29.1","5.1",".",".",".",".","4.4","1.3",".",".",".",".","1.9",".","."
"","341
002","83","3.500","36.1","21.7","21.7","2.4","1.2","1.2",".","14.5","1.2",".",".",".",".",".",".","."
"","341
003","81","3.775","58.0","21.0","4.9",".",".","1.2",".","14.8",".",".",".",".",".",".",".","."
"","341
004","23","3.711","39.1","39.1","4.3",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"","341
091","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","19","3.882","68.4","21.1",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","341
093","20","3.633","40.0","15.0","20.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","406","3.731","53.7","24.4","8.9","0.5","0.2","0.5",".","10.3","0.7",".",".",".",".","0.7",".","."
"History-Modern Philosophy","432
001","84","3.493","35.7","32.1","10.7","1.2","2.4",".","2.4","14.3","1.2",".",".",".",".",".",".","."
"Environmental Ethics","441
001","26","3.325","26.9","11.5","34.6",".",".","3.8",".","23.1",".",".",".",".",".",".",".","."
"Moral Philos & the Holocaust","442
001","14","3.458","35.7","21.4","21.4",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"","454
001","20","3.676","40.0","35.0","10.0",".",".",".",".","10.0",".",".",".",".","5.0",".",".","."
"","454
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","22","3.684","40.9","36.4","9.1",".",".",".",".","9.1",".",".",".",".","4.5",".",".","."
"Classical Philosophers","464
001","22","3.306","40.9","22.7","9.1",".",".",".","9.1","13.6","4.5",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","25","3.722","40.0","24.0","8.0",".",".",".",".","12.0",".",".",".",".","12.0","4.0",".","."
"Methods of Logic","512
001","15","3.250","20.0","40.0","20.0","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"","516
001","17","3.357","29.4","11.8","29.4","11.8",".",".",".","11.8","5.9",".",".",".",".",".",".","."
"","516
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Language and Meaning","Course Total","22","3.472","36.4","13.6","22.7","9.1",".",".",".","13.6","4.5",".",".",".",".",".",".","."
"","543
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","543
002","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
