"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","100","3.795","69.0","19.0","5.0",".","1.0","1.0",".","3.0",".",".",".",".","2.0",".",".","."
"","301
002","119","3.907","84.0","5.9","4.2",".","0.8",".",".","5.0",".",".",".",".",".",".",".","."
"How People Learn","Course Total","219","3.856","77.2","11.9","4.6",".","0.9","0.5",".","4.1",".",".",".",".","0.9",".",".","."
"Human Dev-Infancy&Childhood","320
001","112","3.790","68.8","14.3","8.0","1.8","0.9",".",".","5.4","0.9",".",".",".",".",".",".","."
"","321
001","92","3.404","27.2","32.6","14.1","7.6","1.1","2.2",".","13.0","1.1",".",".",".","1.1",".",".","."
"","321
002","100","3.672","46.0","39.0","6.0",".","1.0","1.0",".","5.0","2.0",".",".",".",".",".",".","."
"Human Develop-Adolescence","Course Total","192","3.550","37.0","35.9","9.9","3.6","1.0","1.6",".","8.9","1.6",".",".",".","0.5",".",".","."
"Mind, Brain and Education","326
001","92","3.759","65.2","20.7","4.3","3.3",".","1.1",".","4.3","1.1",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","105","3.909","85.7","9.5","2.9","1.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"","470
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","43","3.929","86.0","9.3","2.3",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","506
068","32","4.000","93.8",".",".",".",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"Contemp Issues in Ed Psych","Course Total","75","3.958","89.3","5.3","1.3",".",".",".",".","2.7",".",".",".",".","1.3",".",".","."
"Quantitative Ethnography","551
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Youth Dev and Social Media","626
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Supervision Practicum","632
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proactively Addressing Needs","633
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
013","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","711
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","47","4.000","97.9",".",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Ed Psych Diversity Seminar","712
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
