"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"686
Honors Seminar in Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"691
Undergraduate Thesis","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"692","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"692","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","065","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","051","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","053","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"704
Proseminar-Clinical Psych","001","","14","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"706
Prosmr-Developmental Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"710
Dsgn&Anal-Psych Experiments","001","","25","3.833","64.0","32.0",".",".",".",".",".",".   
.",".",".",".","4.0",".",".","."
"711","001","","10","3.900","80.0","20.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"711","002","","11","3.955","90.9","9.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"711","003","","9","",".",".",".",".",".",".",".",".   
.",".",".","100.0",".",".",".","."
"711","004","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"711","005","","7","3.921","85.7","14.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","50","3.950","74.0","8.0",".",".",".",".",".",".  
.",".",".","18.0",".",".",".","."
"740","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"740","002","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Clin I: Assmnt, Etiol&Trtmt","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
