"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"Strategic Global Sourcing","724
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","31","3.759","48.4","45.2",".",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","730
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
030","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","Course Total","26","3.673","38.5","57.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creating New Products","737
001","32","3.964","81.3","6.3",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","755
002","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","765
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
040","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","121","3.991","97.5","1.7","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Analytics","815
001","45","3.526","26.7","37.8","22.2",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972
001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
