"LATIN (CLASSICS)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104","001","","14","3.462","50.0","7.1","21.4","7.1","7.1",".",".","7.1
.",".",".",".",".",".",".","."
"","104","002","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".   
.",".",".",".",".",".",".","."
"","104","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Elementary Latin","","Course Total","","25","3.542","52.0","16.0","16.0","8.0","4.0",".",".","4.0
.",".",".",".",".",".",".","."
"Intro to Latin Literature","204","001","","9","3.857","55.6","22.2",".",".",".",".",".","22.2
.",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Latin:Grad Readng Knowldg I","391","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Latin Philosophical Writers","549","001","","10","3.650","80.0","10.0",".",".",".","10.0",".",".   
.",".",".",".",".",".",".","."
"Senior Honors Thesis","682","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"","890","042","","3","***","","","","","","","","",".",".",".",".",".",".","."
"","890","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","","Course Total","","4","***","","","","","","","","","","","","","","",""
