"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","31","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","42","3.400","16.7","35.7","28.6","2.4",".",".",".","16.7
.",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","35","3.661","42.9","34.3","8.6","2.9",".",".",".","8.6
.",".",".",".",".",".","2.9","."
"375
Special Topics","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"412
Food Analysis","001","","19","3.200","10.5","21.1","10.5",".","10.5",".",".","36.8
5.3",".",".",".","5.3",".",".","."
"432
Principles-Food Preservation","001","","28","3.250","17.9","14.3","35.7","10.7",".",".",".","21.4
.",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","33","3.065","18.2","21.2","30.3","3.0","21.2",".",".","3.0
3.0",".",".",".",".",".",".","."
"550
Fermented Foods and Beverages","001","","69","4.000","98.6",".",".",".",".",".",".","1.4
.",".",".",".",".",".",".","."
"551
Food Fermentation Laboratory","001","","22","3.952","90.9",".","4.5",".",".",".",".","4.5
.",".",".",".",".",".",".","."
"603
Senior Seminar","001","","34","4.000","97.1",".",".",".",".",".",".",".   
2.9",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","",""
"875
Special Topics","001","","8","3.800","50.0",".","12.5",".",".",".",".","12.5
25.0",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","35","4.000","28.6",".",".",".",".",".",".","71.4
.",".",".",".",".",".",".","."
"990","009","","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","91.7
2.8",".",".","5.6",".",".",".","."
