"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","651
002","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","29","3.931","93.1",".","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","7","3.357","42.9","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","661
001","","19","3.941","78.9","10.5",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","705
001","","19","3.750","68.4","5.3","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","705
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Analytics","Course Total","","30","3.828","76.7","6.7","13.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","706
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Mining Planning and Mgmt","Course Total","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","16","3.964","81.3","6.3",".",".",".",".",".",".","6.3",".",".",".","6.3",".",".","."
"","722
002","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","29","3.926","79.3","13.8",".",".",".",".",".",".","3.4",".",".",".","3.4",".",".","."
"Strategic Info Services","732
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","9","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","12","3.545","25.0","58.3",".","8.3",".",".",".",".","8.3",".",".",".",".",".",".","."
"","755
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","","24","3.935","87.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Digital Humanities Analytics","768
001","","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","855
002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
003","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","46","3.903","89.1","6.5",".",".",".",".","2.2","2.2",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875
001","","25","3.813","64.0","28.0","4.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Smr-Info Pol, Mgmt&Institutns","931
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
