"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"","299
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Biometry","300
001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Operations","305
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Terr Vertbrt:Life Hist&Ecol","306
001","","58","3.306","41.4","12.1","22.4","6.9","6.9","1.7","1.7","6.9",".",".",".",".",".",".",".","."
"","375
002","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
116","","22","3.611","63.6","4.5","4.5","4.5",".",".","4.5","9.1","9.1",".",".",".",".",".",".","."
"Special Topics","Course Total","","71","3.768","83.1","5.6","2.8","1.4",".",".","1.4","2.8","2.8",".",".",".",".",".",".","."
"Princ-Wildlife Management","379
001","","56","3.163","17.9","32.1","19.6","7.1","5.4","5.4",".","8.9","3.6",".",".",".",".",".",".","."
"Principles of Silviculture","410
001","","17","3.844","64.7","29.4",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Practices of Silviculture","411
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460
001","","9","3.000","22.2","22.2","22.2",".","11.1","11.1",".","11.1",".",".",".",".",".",".",".","."
"Natural Resources Policy","515
001","","18","3.625","38.9","38.9","5.6","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"Ornithology","520
001","","9","2.938","22.2","11.1","44.4",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"","521
001","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","27","3.722","63.0","22.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Population Dynamics","655
001","","31","3.121","12.9","25.8","32.3","16.1","6.5",".",".","3.2","3.2",".",".",".",".",".",".","."
"","675
001","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","675
002","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Prof Develop-Forest/Wildlife","Course Total","","30","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
