"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","184","3.549","33.7","41.8","7.6","2.7","0.5","0.5","1.1","8.7","1.6",".",".",".",".",".","1.1","0.5"
"Intro Earth System","120","001","75","3.250","14.7","14.7","36.0","5.3","1.3",".",".","28.0",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","55","3.745","67.3","10.9","7.3","1.8",".",".","1.8",".",".",".",".",".",".",".","10.9","."
"Digital Globe:GIScience & Tech","170","001","389","3.806","69.4","10.5","6.2","1.3","0.8","0.8",".","10.0","0.8",".",".",".",".",".","0.3","."
"Soil: Ecosystem & Resource","230","001","8","3.667","25.0",".","12.5",".",".",".",".","12.5","37.5",".",".",".","12.5",".",".","."
"Eastern Europe:Interdis Survey","254","001","13","3.056","30.8","7.7","15.4",".","7.7",".","7.7","30.8",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","12","3.455","25.0","41.7","16.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","78","3.691","51.3","20.5","12.8","2.6",".",".",".","9.0","1.3",".",".",".","1.3","1.3",".","."
"People, Land and Food","309","001","23","3.789","60.9","8.7","13.0",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"Geomorphology","320","001","13","3.050","7.7","38.5","15.4",".","7.7","7.7",".","15.4",".",".",".",".",".",".","7.7","."
"Environmental Conservation","339","001","59","3.365","23.7","27.1","23.7","1.7","3.4","1.7",".","13.6",".",".",".",".","5.1",".",".","."
"World Regions in Global Contxt","340","001","163","3.572","44.8","14.7","21.5","1.2","1.8","0.6",".","14.1","0.6",".",".",".","0.6",".",".","."
"Geography of Wisconsin","342","001","188","3.182","10.1","20.7","26.1","8.5","2.7","0.5",".","23.4","2.7",".",".",".","0.5",".","4.8","."
"Landscapes of American West","344","001","46","3.744","52.2","23.9","6.5","2.2",".",".",".","13.0","2.2",".",".",".",".",".",".","."
"Native North Amer Nat Res Mgmt","345","001","10","3.611","20.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Geog Traditions & Practices","365","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","001","38","3.359","21.1","26.3","28.9","7.9",".",".",".","13.2",".",".",".",".","2.6",".",".","."
"","370","070","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","42","3.417","26.2","26.2","26.2","7.1",".",".",".","11.9",".",".",".",".","2.4",".",".","."
"","377","001","43","3.408","41.9","9.3","30.2","2.3",".","4.7",".","11.6",".",".",".",".",".",".",".","."
"","377","070","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","49","3.489","49.0","8.2","26.5","2.0",".","4.1",".","10.2",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","070","16","3.929","81.3",".","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","6.3"
"","475","002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","004","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","475","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","19","3.970","78.9","5.3",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Rsch the City: Qual Strategies","503","001","19","4.000","84.2",".",".",".",".",".",".","5.3",".",".",".",".","10.5",".",".","."
"Transforming Earth Systems","526","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557","001","10","3.300","30.0","40.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","070","20","4.000","90.0",".",".",".",".",".",".",".","5.0",".",".",".","5.0",".",".","."
"Advanced Geocomputing","573","001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","574","070","26","3.960","92.3",".","3.8",".",".",".",".",".","3.8",".",".",".",".",".",".","."
"","575","001","20","3.794","65.0","15.0",".",".","5.0",".",".","10.0",".",".",".",".","5.0",".",".","."
