"Section","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"999","011","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","097","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","15","4.000","66.7","",".","",".",".","",".","",".","",".","6.7
.",".",".","13.3","6.7",".","6.7","."
