"ALS","","","","","","","","","","","","","","","","","","",""
"NUTRITIONAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","",""
"NUTR SCI
694","Dept. Total","1318","3.569","44.0","13.4","11.7","3.1","2.4","0.4","0.1","21.5
0.8","1.8","",".","0.4","0.3","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","96","3.240","8.3","16.7","16.7","7.3","1.0",".",".","45.8
3.1","1.0","",".",".",".",".",".","."
"Sophomore","","256","3.376","19.5","18.8","17.2","4.3","3.1",".",".","34.4
0.4","2.3","",".",".",".",".",".","."
"Junior","","304","3.615","47.7","13.8","10.9","3.3","2.0","0.7","0.3","16.8
1.0","3.6","",".",".",".",".",".","."
"Senior","","436","3.576","52.8","14.0","12.2","2.8","3.4","0.7",".","11.7
0.7","1.1","",".",".","0.5","0.2",".","."
"Undergraduates","","1092","3.525","39.7","15.3","13.4","3.7","2.7","0.5","0.1","21.4
0.9","2.1","",".",".","0.2","0.1",".","."
"Special","","13","3.545","46.2","15.4","15.4",".","7.7",".",".",".  
.","7.7","",".",".",".","7.7",".","."
"Graduate","","210","3.894","65.7","3.8","2.9","0.5","0.5",".",".","23.3
.",".","",".","2.4","1.0",".",".","."
"Prof Yr 2","","1","***","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1318","3.569","44.0","13.4","11.7","3.1","2.4","0.4","0.1","21.5
0.8","1.8","",".","0.4","0.3","0.2",".","."
