"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Ordinary Differentl Equations","519","001","","16","3.917","68.8",".","6.3",".",".",".",".","12.5","6.3",".",".",".","6.3",".",".","."
"","521","001","","31","3.452","32.3","12.9","9.7","9.7","3.2",".",".","32.3",".",".",".",".",".",".",".","."
"","521","002","","35","3.658","34.3","8.6","8.6",".","2.9",".",".","37.1","8.6",".",".",".",".",".",".","."
"","521","003","","35","3.614","34.3","8.6","20.0",".",".",".",".","34.3","2.9",".",".",".",".",".",".","."
"","521","004","","37","3.435","35.1",".","18.9",".","8.1",".",".","37.8",".",".",".",".",".",".",".","."
"Analysis I","","Course Total","","138","3.535","34.1","7.2","14.5","2.2","3.6",".",".","35.5","2.9",".",".",".",".",".",".","."
"Analysis II","522","001","","29","3.640","55.2","13.8","13.8",".",".","3.4",".","13.8",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","","39","3.458","30.8","12.8","12.8","2.6",".",".","2.6","38.5",".",".",".",".",".",".",".","."
"Probability Theory","531","001","","37","3.239","27.0","10.8","13.5","2.7",".","8.1",".","32.4","2.7",".",".",".",".",".",".","2.7"
"Math Methods in Data Science","535","001","","55","3.868","78.2","10.9","7.3",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Linear Algebra II","540","001","","17","3.500","35.3","29.4","11.8","11.8",".",".",".","11.8",".",".",".",".",".",".",".","."
"","541","001","","26","3.227","34.6","7.7","30.8",".","3.8","7.7",".","15.4",".",".",".",".",".",".",".","."
"","541","002","","34","3.345","55.9","2.9","5.9","2.9","11.8","2.9","2.9","8.8","2.9",".",".",".",".","2.9",".","."
"Modern Algebra","","Course Total","","60","3.294","46.7","5.0","16.7","1.7","8.3","5.0","1.7","11.7","1.7",".",".",".",".","1.7",".","."
"Modern Algebra","542","001","","34","3.609","41.2","11.8","2.9","11.8",".",".",".","32.4",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","37","3.833","75.7","5.4","2.7","2.7","2.7",".",".","8.1",".",".",".",".","2.7",".",".","."
"Elem Geom & Alg Topology","552","001","","13","3.792","69.2","7.7","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","26","3.450","50.0","3.8","3.8","11.5","3.8","3.8",".","15.4",".",".",".",".",".","7.7",".","."
"Modern Number Theory","567","001","","21","3.438","42.9","9.5","14.3",".","4.8","4.8",".","19.0","4.8",".",".",".",".",".",".","."
"Math Mthds for Systems Biology","609","001","","17","3.781","70.6","5.9","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Analysis of PDE","619","001","","13","3.727","69.2",".","7.7",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","8","3.750","25.0","25.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","632","001","","28","3.088","25.0","7.1","14.3","3.6",".","10.7",".","28.6","7.1",".",".",".","3.6",".",".","."
"","632","002","","23","3.618","60.9","4.3",".",".",".","8.7",".","17.4","8.7",".",".",".",".",".",".","."
"","632","003","","41","3.500","46.3",".","7.3",".","4.9","4.9",".","31.7","4.9",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","92","3.417","43.5","3.3","7.6","1.1","2.2","7.6",".","27.2","6.5",".",".",".","1.1",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","33","3.635","45.5","21.2","9.1",".",".","3.0",".","21.2",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","172","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","173","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","19","3.789","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","11","3.800","72.7",".","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Secnd Crse in Real Analysis","725","001","","14","3.917","78.6",".","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","8","3.500","12.5","62.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","","Page 281 of 447",""
