"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
009","10","3.813","60.0","10.0","10.0",".",".",".",".","10.0","10.0",".",".",".",".",".",".","."
"","226
010","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","226
012","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
014","17","3.688","52.9","29.4","5.9","5.9",".",".",".",".","5.9",".",".",".",".",".",".","."
"","226
016","20","3.853","60.0","25.0",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","226
017","16","3.700","50.0","31.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","200","3.810","63.5","22.5","5.5","0.5",".",".",".","6.5","1.5",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
003","22","3.583","31.8","31.8","18.2",".",".",".",".","13.6","4.5",".",".",".",".",".",".","."
"","311
005","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","23","3.643","47.8","21.7","21.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","311
007","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","311
008","12","3.667","33.3","33.3","8.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","311
009","22","3.525","22.7","50.0","18.2",".",".",".",".","4.5","4.5",".",".",".",".",".",".","."
"","311
010","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","143","3.771","60.1","21.0","10.5",".",".",".",".","7.0","1.4",".",".",".",".",".",".","."
"Spanish for Nursing","317
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","18","3.867","66.7","11.1","5.6",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","320
001","24","3.955","87.5",".","4.2",".",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"","320
002","22","3.433","18.2","22.7","27.3",".",".",".",".","31.8",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","46","3.743","54.3","10.9","15.2",".",".",".",".","17.4",".",".",".",".","2.2",".",".","."
"Structure of Modern Spanish","321
001","26","3.381","23.1","23.1","26.9","7.7",".",".",".","19.2",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","322
001","14","3.462","50.0","28.6","7.1",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Advanced Conversation","Course Total","47","3.957","91.5","4.3","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Survey of Spanish American Lit","326
001","20","3.588","50.0","5.0","25.0","5.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"Spanish Business Area Study","359
001","28","3.889","78.6","14.3","3.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","363
001","25","3.804","68.0","12.0","12.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
001","19","3.694","57.9","26.3","5.3",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Intro to Romance Languages","429
001","58","3.404","25.9","22.4","27.6","1.7","3.4",".",".","17.2",".",".",".",".",".","1.7",".","."
"Spanish Amer Poetry & Essay","464
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"US Latino Literature","467
001","24","3.565","37.5","41.7","12.5",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","468
001","21","3.313","23.8","28.6","19.0",".",".",".","4.8","19.0",".",".",".",".",".","4.8",".","."
"Study Abroad-Hispanic Cultures","476
00A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry & Pract-Hispanic Theatre","564
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Hispanic Linguistics","630
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
