"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Environmental Ethics","441
001","28","3.146","25.0","25.0","17.9","7.1","3.6","3.6","3.6","10.7",".",".",".",".",".","3.6",".","."
"Intro-Environmental Health","471
001","96","3.598","39.6","29.2","21.9",".",".",".",".","9.4",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","25","3.667","56.0","24.0","12.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"","511
001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","16","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioclimatology","520
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment-Environ Impact","575
001","34","3.734","55.9","26.5","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","600
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","600
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","49","3.990","95.9","2.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Energy Economics","671
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr II","718
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Policy & Planning","843
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CHE Methods Seminar","922
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Environ Remote Sensing","956
001","17","3.906","76.5","17.6",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Environ Sensing Technologies","971
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
001","30","3.667","60.0","16.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","978
002","41","3.829","70.7","24.4","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
003","30","3.683","53.3","33.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","978
004","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
005","30","3.638","50.0","33.3","6.7","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"","978
006","30","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Cons Tools Modules","Course Total","215","3.804","71.2","20.0","6.5","1.4","0.5",".",".","0.5",".",".",".",".",".",".",".","."
