"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"DANCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"Contemp Dance Tech & Th IV","","Course Total","28","3.726","85.7","7.1",".",".","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268","001","101","3.747","67.3","9.9","17.8","1.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","312","001","18","3.875","83.3",".",".","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"","312","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th VI","","Course Total","27","3.909","88.9",".",".","3.7",".",".",".","7.4",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318","001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Ballet Technique III-B","326","001","16","3.900","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Pilates Equipment Lab III","336","001","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","341","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","341","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","","Course Total","6","3.200","66.7",".",".",".",".",".","16.7","16.7",".",".",".",".",".",".",".","."
"Dance History II: Contemporary","365","001","23","3.850","69.6","13.0",".","4.3",".",".",".","8.7",".",".",".",".","4.3",".",".","."
"Teaching Dance","374","001","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","399","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Modern Jazz Dance","4","001","23","3.591","60.9","17.4","13.0",".",".",".","4.3",".","4.3",".",".",".",".",".",".","."
"Dance Therapy Practicum","431","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","451","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition III","455","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Project","463","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
