"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102","001","33","3.855","75.8","9.1","9.1",".",".",".",".","3.0",".",".",".",".",".","3.0",".","."
"Intro-Contemp Afro-Am Soc","151","001","23","3.211",".","39.1","39.1","4.3",".",".",".","17.4",".",".",".",".",".",".",".","."
"Hip-Hop and Cont Am Society","154","001","163","3.851","75.5","9.8","9.2",".",".",".",".","5.5",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","241","3.830","66.0","22.4","4.6",".",".",".",".","6.6",".",".",".",".","0.4",".",".","."
"Intro to Black Women's Studies","221","001","9","3.444","55.6","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","002","86","3.740","66.3","7.0","15.1",".",".",".","1.2","10.5",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233","001","54","3.443","31.5","22.2","14.8","13.0",".",".",".","18.5",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","36","3.889","97.2",".",".",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African-American Autobiography","265","001","28","3.852","78.6","7.1","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","271","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","003","23","3.952","82.6","8.7",".",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","31","3.948","83.9","9.7",".",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","33","4.000","78.8",".",".",".",".",".",".","21.2",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","20","3.600","45.0",".","30.0",".",".",".",".","20.0","5.0",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318","001","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Afro-Am Hist Since 1900","321","001","20","3.367","20.0","45.0",".",".","5.0","5.0",".","15.0","5.0",".",".",".",".",".","5.0","."
"Race&Gendr-Post-WW II  US Soc","326","001","12","3.688","33.3","25.0","8.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","338","001","26","3.775","61.5","7.7",".","3.8","3.8",".",".","3.8",".",".",".",".",".",".","19.2","."
"Slavery,Civil War&Recon1848-77","393","001","20","3.474","30.0","35.0","25.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","9","3.857","66.7",".","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Colloq in Afro-Am History","631","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","16","3.857","68.8","12.5","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics in Afro-Am Society","673","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Hist,Thry &Meth in Visual Cult","801","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
