"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","",""
"WISE Seminar","175
001","43","3.977","95.3","4.7",".",".","","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Intro CALS Honors Seminar","288
001","23","4.000","100.0",".",".",".","","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","32","3.694","56.3","21.9","18.8",".","","",".","",".","",".","3.1
.",".",".","",".","",".","",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","14","4.000","100.0",".",".",".","","",".","",".","",".",".   
.",".",".","",".","",".","",".",".","."
"Food Production & Sustainblty","471
001","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Honors Research Colloquium","488
001","13","",".",".",".",".","","",".","",".","",".",".   
.","100.0",".","",".","",".","",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","131","3.845","77.9","6.9","4.6","",".","",".","",".","",".","0.8
.","9.9","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","4.000","100.0",".",".","",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Sophomore","","51","3.754","84.3","7.8","7.8","",".","",".","",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Junior","","38","3.885","86.8","7.9","2.6","",".","",".","",".","",".",".  
.","2.6","",".","",".","",".",".",".","."
"Senior","","33","3.872","51.5","6.1","3.0","",".","",".","",".","",".","3.0
.","36.4","",".","",".","",".",".",".","."
"Undergraduates","","131","3.845","77.9","6.9","4.6","",".","",".","",".","",".","0.8
.","9.9","",".","",".","",".",".",".","."
"","Dept. Total","131","3.845","77.9","6.9","4.6","",".","",".","",".","",".","0.8
.","9.9","",".","",".","",".",".",".","."
