"TERM : 1204","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
001","","26","3.900","80.8","11.5","3.8",".","","",".","",".","",".","3.8
.",".",".","",".","",".","",".",".","."
"Computer-Based Data Mgt","422
001","","24","3.861","54.2","20.8",".",".","","",".","",".","",".","25.0
.",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","36","3.757","50.0","47.2",".",".","","",".","",".","",".","2.8
.",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","86","3.827","60.5","29.1","1.2","",".","",".","",".","",".","9.3
.",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","12","3.800","50.0","33.3",".","",".","",".","",".","",".","16.7
.",".","",".","",".","",".",".",".","."
"Senior","","","73","3.828","61.6","28.8","1.4","",".","",".","",".","",".","8.2
.",".","",".","",".","",".",".",".","."
"Undergraduates","","","86","3.827","60.5","29.1","1.2","",".","",".","",".","",".","9.3
.",".","",".","",".","",".",".",".","."
"","Dept. Total","","86","3.827","60.5","29.1","1.2","",".","",".","",".","",".","9.3
.",".","",".","",".","",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","","","","","","","","Page 57 of 447"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report","","","","","","","","","","","","","","","","","","","","","","","","","",""
