"Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"","Course Total","","50","",".",".",".",".",".",".",".","88.0
.",".",".","12.0",".",".",".","."
"998","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"998","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","013","","5","***","","","","","","","","",".",".",".",".",".",".","."
"998","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","017","","2","***","","","","","","","","",".",".",".",".",".",".","."
"998","032","","3","***","","","","","","","","",".",".",".",".",".",".","."
"998","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","035","","3","***","","","","","","","","",".",".",".",".",".",".","."
"998","036","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"998","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","048","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"998","049","","3","***","","","","","","","","",".",".",".",".",".",".","."
"998","056","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","059","","3","***","","","","","","","","",".",".",".",".",".",".","."
"998","082","","1","***","","","","","","","","",".",".",".",".",".",".","."
"998","083","","5","***","","","","","","","","",".",".",".",".",".",".","."
"998","088","","1","***","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","50","",".",".",".",".",".",".",".","94.0
.",".",".",".",".",".","6.0","."
