"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"799","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","023","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","029","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","033","","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","034","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","035","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","076","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","085","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","086","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","090","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","091","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","101","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","124","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","127","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","128","","5","***","","","","","","","","",".",".",".",".",".",".","."
"799","129","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","132","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","134","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","136","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","137","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","138","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","141","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","142","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","143","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","144","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","148","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","151","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","152","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","153","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","155","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","147","",".",".",".",".",".",".",".","98.6
0.7",".",".",".",".",".","0.7","."
"812
Arithmetic Algorithms","001","","11","3.944","72.7","9.1",".",".",".",".",".","18.2
.",".",".",".",".",".",".","."
"839","001","","44","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"839","003","","11","3.909","81.8","18.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"839","004","","22","3.886","77.3","22.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"839","005","","25","3.960","96.0",".","4.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Core Topics in Computing","Course Total","","102","3.956","92.2","6.9","1.0",".",".",".",".",".  
.",".",".",".",".",".",".","."
"880
Topics in Theortcl Comp Sci","001","","41","3.844","53.7","24.4",".",".",".",".",".","19.5
2.4",".",".",".",".",".",".","."
"899","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","019","","3","***","","","","","","","","",".",".",".",".",".",".","."
"899","021","","2","***","","","","","","","","",".",".",".",".",".",".","."
"899","029","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 217 of 447",""
