"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","#","Ave","A","AB","B","BC","","C","","D","","F","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","173","3.850","72.3","15.0","2.9","",".","",".","",".","0.6","7.5
0.6",".","",".","",".","0.6",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","11","3.897","72.7","18.2",".","",".","",".","",".",".",".  
9.1",".","",".","",".",".",".",".","."
"Junior","","10","3.588","40.0","30.0","20.0","",".","",".","",".",".","10.0
.",".","",".","",".",".",".",".","."
"Senior","","26","3.675","65.4","26.9","3.8","",".","",".","",".","3.8",".  
.",".","",".","",".",".",".",".","."
"Undergraduates","","47","3.712","61.7","25.5","6.4","",".","",".","",".","2.1","2.1
2.1",".","",".","",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","119","3.911","74.8","11.8","1.7","",".","",".","",".",".","10.1
.",".","",".","",".","0.8",".","0.8","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
