"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","699
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
003","","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","710
010","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
011","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Div, Opp & Soc Justice Soc Wrk","Course Total","","69","3.855","76.8","18.8","2.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
010","","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
010","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
020","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","799
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
050","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.950","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","","12","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
101","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
102","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
103","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
104","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
105","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","801
201","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
202","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
203","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 327 of 447",""
