"NEUROSCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","",""
"611
Systems Neuroscience","001","","12","3.444","25.0","16.7","33.3",".",".",".",".","16.7
.",".",".",".","8.3",".",".","."
"699","006","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","028","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","066","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","074","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","084","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","086","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","104","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","106","","16","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"NEURODPT 699","Course Total","","51","3.992","96.1",".","2.0",".",".",".",".",".  
.",".",".",".","2.0",".",".","."
"747
Sensory and Motor Systems","005","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"765
Developmental Neuroscience","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","106","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
