"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","",""
"699","056","","21","4.000","85.7",".",".",".",".",".",".",".   
.",".",".",".","14.3",".",".","."
"699","093","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","101","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","104","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","106","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","109","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","111","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","113","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","114","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","48","3.972","91.7",".","2.1",".",".",".",".",".  
.",".",".",".","6.3",".",".","."
"910","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","",""
"913
Cognition and Neuroanatomy","005","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"914
Neurol, Diet & Neurol Dis","008","","24","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Neurol Indiv Clin Elective","Course Total","","2","***","","","","","","","","","","","","","","",""
