"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","90","3.531","42.2","23.3","16.7","3.3","4.4",".",".","8.9",".",".",".",".",".","1.1",".","."
"","100","002","59","3.647","49.2","20.3","13.6",".","3.4",".",".","13.6",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","149","3.576","45.0","22.1","15.4","2.0","4.0",".",".","10.7",".",".",".",".",".","0.7",".","."
"Archaeology & Prehist World","102","001","103","3.410","40.8","17.5","16.5","2.9","4.9","3.9",".","12.6","1.0",".",".",".",".",".",".","."
"","104","001","370","3.945","88.4","4.6","2.4",".","0.3",".",".","3.8","0.5",".",".",".",".",".",".","."
"","104","002","396","3.926","88.6","4.3","3.0","0.5","0.3","0.3",".","2.5","0.5",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","766","3.935","88.5","4.4","2.7","0.3","0.3","0.1",".","3.1","0.5",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","436","3.843","73.6","15.8","5.3","0.5","0.2","0.2",".","3.9","0.5",".",".",".",".",".",".","."
"Principles of Archaeology","212","001","58","3.510","44.8","6.9","24.1","1.7","5.2",".",".","15.5",".",".",".",".",".",".",".","1.7"
"Latin America-Introduction","260","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Culture and Health","265","001","88","3.953","90.9","5.7",".","1.1",".",".",".",".",".",".",".",".","2.3",".",".","."
"Africa: Introductory Survey","277","001","12","3.611","33.3","25.0","16.7",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","24","3.400","29.2","25.0","25.0",".",".","4.2",".","8.3",".",".",".",".","8.3",".",".","."
"Intro Ling-Descript&Theoret","301","001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310","001","15","3.808","66.7","6.7","13.3",".",".",".",".","6.7","6.7",".",".",".",".",".",".","."
"","310","002","18","3.941","88.9",".","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","33","3.883","78.8","3.0","9.1",".",".",".",".","6.1","3.0",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330","001","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","330","002","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Topics in Ethnology","","Course Total","24","3.977","87.5","4.2",".",".",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"Elementary Quechua","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","364","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","364","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Field Course in Archaeology","370","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","14","3.900","57.1","14.3",".",".",".",".",".","21.4",".",".",".",".","7.1",".",".","."
"Evolutionary Biology","410","001","13","3.500","61.5","7.7","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Intro to Primatol Research","420","001","15","3.692","40.0","40.0","6.7",".",".",".",".",".","13.3",".",".",".",".",".",".","."
"Anthropology by Women","443","001","22","3.773","63.6","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","455","00A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","455","00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","","Course Total","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Probs-Paleoanthro","605","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","696","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 175 of 447",""
