"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"790","029","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","032","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","034","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","036","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","037","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","052","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","053","","5","***","","","","","","","","",".",".",".",".",".",".","."
"790","054","","5","***","","","","","","","","",".",".",".",".",".",".","."
"790","060","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","063","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","065","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","066","","6","",".",".",".",".",".",".",".","16.7
.",".",".","83.3",".",".",".","."
"790","076","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","093","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","094","","4","***","","","","","","","","",".",".",".",".",".",".","."
"790","103","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","104","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","105","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","64","",".",".",".",".",".",".",".","70.3
.",".",".","28.1","1.6",".",".","."
"817
Nonlinear Systems","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"842
Topics in Applied Algebra","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","009","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","011","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","012","","6","",".",".",".",".",".",".",".","83.3
.",".",".","16.7",".",".",".","."
"890","013","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","028","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","029","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 128 of 447",""
