"OPERATIONS & TECHNOLOGY M Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"","300","001","","104","3.449","26.9","26.0","16.3","3.8","1.9","1.0",".","22.1","1.9",".",".",".",".",".",".","."
"","300","002","","115","3.513","27.0","26.1","11.3",".","1.7","1.7",".","32.2",".",".",".",".",".",".",".","."
"","300","003","","102","3.500","22.5","18.6","12.7","1.0","1.0","1.0",".","43.1",".",".",".",".",".",".",".","."
"","300","004","","100","3.500","17.0","20.0","15.0","1.0",".",".",".","45.0","2.0",".",".",".",".",".",".","."
"Operations Management","","Course Total","","421","3.489","23.5","22.8","13.8","1.4","1.2","1.0",".","35.4","1.0",".",".",".",".",".",".","."
"Contemporary Topics","365","003","","63","3.903","79.4","19.0",".",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421","001","","22","3.500","27.3","45.5","4.5",".",".","4.5",".","18.2",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423","001","","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427","001","","13","3.500","15.4","38.5","15.4",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442","001","","9","3.786","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Production Planning&Control","654","001","","18","3.781","61.1","16.7","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Operations Management","700","030","","41","3.788","63.4","26.8","7.3",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Supply Chain Analytics","714","001","","61","3.905","77.0","18.0",".",".",".",".",".","4.9",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics for Managers","732","030","","40","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753","001","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765","020","","34","3.726","58.8","14.7","17.6",".",".",".",".","5.9",".",".",".",".","2.9",".",".","."
"","765","021","","34","3.485","35.3","29.4","29.4",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","765","030","","40","3.850","77.5","15.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","040","","51","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","","160","3.740","60.6","24.4","11.9",".","0.6",".",".","1.9",".",".",".",".","0.6",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","","Course Total","","2","***","","","","","","","","","","","","","","","",""
