"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PUBLIC HEALTH","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"828
PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"PH and HC Systems","785
001","53","3.930","83.0","9.4","1.9",".","","",".","",".","",".","1.9
.",".",".","",".","","3.8",".",".","."
"Plnng & Mngmt to Promote Hlth","786
001","43","4.000","100.0",".",".",".","","",".","",".","",".",".   
.",".",".","",".","",".",".",".","."
"MPH Applied Practice Exp Semin","787
001","39","4.000","97.4",".",".",".","","",".","",".","",".",".   
.",".",".","",".","","2.6",".",".","."
"Applied Practice Experience","788
001","8","",".",".",".",".","","",".","",".","",".","100.0
.",".",".","",".","",".",".",".","."
"MPH Culminating Seminar","790
001","18","4.000","100.0",".",".",".","","",".","",".","",".",".   
.",".",".","",".","",".",".",".","."
"Public Health Leadership","793
001","18","3.853","77.8","5.6","11.1",".","","",".","",".","",".",".   
.",".",".","",".","",".",".","5.6","."
"PUBLHLTH
828","Dept. Total","179","3.960","87.7","3.4","1.7","",".","",".","",".","",".","5.0
.",".","",".","",".","1.7",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"828
PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","6","3.846","83.3",".","16.7","",".","",".","",".","",".",".  
.",".","",".","",".",".",".",".","."
"Undergraduates","","6","3.846","83.3",".","16.7","",".","",".","",".","",".",".  
.",".","",".","",".",".",".",".","."
"Graduate","","6","3.900","66.7","16.7",".","",".","",".","",".","",".",".  
.",".","",".","",".",".",".","16.7","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","166","3.966","88.6","3.0","1.2","",".","",".","",".","",".","5.4
.",".","",".","",".","1.8",".",".","."
"Professionals","","167","3.967","88.6","3.0","1.2","",".","",".","",".","",".","5.4
.",".","",".","",".","1.8",".",".","."
"","Dept. Total","179","3.960","87.7","3.4","1.7","",".","",".","",".","",".","5.0
.",".","",".","",".","1.7",".","0.6","."
