"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","",""
"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","11","4.000","81.8",".",".",".",".",".",".","9.1","9.1",".",".",".",".",".",".","."
"Introduction to Textile Design","","Course Total","","23","3.952","82.6","8.7",".",".",".",".",".","4.3","4.3",".",".",".",".",".",".","."
"Design: Fundamentals I","120","001","","59","3.603","33.9","50.8","13.6",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Sewn Construction II","154","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for Accessories","215","001","","13","3.958","84.6","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","40","3.789","57.5","35.0","2.5",".",".",".",".","2.5",".",".",".",".","2.5",".",".","."
"","225","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225","002","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","","Course Total","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Embellishment I","228","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","002","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","","Course Total","","35","3.886","77.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","33","3.417","24.2","18.2","24.2","6.1",".",".",".","27.3",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252","001","","42","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design/Fashion Event Practicum","270","001","","24","3.909","83.3","4.2",".","4.2",".",".",".","4.2","4.2",".",".",".",".",".",".","."
"Interior Design II","322","001","","35","3.843","77.1","14.3","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Thinking","341","001","","28","3.875","82.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","58","3.911","82.8","10.3","3.4",".",".",".",".","1.7",".",".",".",".","1.7",".",".","."
"Design-Related Intl Experience","361","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Arch. & Interiors I","421","001","","39","3.921","82.1","15.4",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Embellishment II","428","001","","7","3.833","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","30","3.407","20.0","53.3","13.3",".",".",".","3.3","10.0",".",".",".",".",".",".",".","."
"","501","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","019","","17","3.633","35.3","47.1",".","5.9",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"","501","020","","16","3.733","50.0","37.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","501","022","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","44","3.744","54.5","31.8","4.5","2.3",".",".",".","4.5",".",".",".",".","2.3",".",".","."
"Collection Development","519","001","","14","3.750","78.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Global Artisans","527","001","","12","3.818","58.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Sustainable Creative Practice","529","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Control Systems","549","001","","36","3.346","22.2","19.4","22.2","2.8","5.6",".",".","27.8",".",".",".",".",".",".",".","."
"Design Event Management","570","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Virtual Reality","579","001","","14","3.643","78.6",".","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
