"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Topics in Art History","103","001","170","3.388","20.0","37.6","13.5","1.8","0.6","1.2","1.8","11.8","1.8",".",".",".",".","1.2","8.8","."
"History of Western Art II","202","001","163","3.643","31.3","19.0","7.4","0.6","1.8",".",".","39.9",".",".",".",".",".",".",".","."
"Global Arts","205","001","57","3.806","38.6","24.6",".",".",".",".",".","35.1",".",".",".",".",".","1.8",".","."
"Intro to Afro-American Art","242","001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","22","3.450","22.7","9.1","4.5","4.5","4.5",".",".","50.0","4.5",".",".",".",".",".",".","."
"History of Islamic Art & Arch.","305","001","22","3.471","31.8","27.3","4.5","9.1","4.5",".",".","22.7",".",".",".",".",".",".",".","."
"Chinese Art:10th C. to Present","308","001","27","3.568","29.6","37.0","11.1","3.7",".",".",".","14.8",".",".",".",".",".",".","3.7","."
"Arts in 16th Century Italy","323","001","27","3.833","29.6",".",".","3.7",".",".",".","66.7",".",".",".",".",".",".",".","."
"Renaissances and Reformations","360","001","35","4.000","48.6",".",".",".",".",".",".","2.9",".",".",".",".",".",".","48.6","."
"Concept of Contemporary Art","365","001","35","3.885","28.6","8.6",".",".",".",".",".","60.0",".",".",".",".","2.9",".",".","."
"","403","001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","403","002","21","3.538","38.1","9.5","9.5",".",".","4.8",".","38.1",".",".",".",".",".",".",".","."
"Topics in Art History","","Course Total","30","3.690","50.0","10.0","6.7",".",".","3.3",".","30.0",".",".",".",".",".",".",".","."
"Cities&Sanctuaries-Anc Greece","405","001","23","3.667","21.7","8.7","8.7",".",".",".",".","52.2","4.3",".",".",".","4.3",".",".","."
"Topics in Contemporary Art","409","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","31","3.750","25.8","6.5","6.5",".",".",".",".","61.3",".",".",".",".",".",".",".","."
"Topics in Visual Culture","430","001","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","","Course Total","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Medieval Art","515","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"Intro to Museum Studies I","601","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","731","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","731","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Early Modern Art","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Topics in Japanese Art History","775","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Chinese Art History","776","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs: Arch. & Urbanism of Asia","779","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 178 of 447",""
