"NEUROSCIENCE TRAINING PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","",""
"611
Systems Neuroscience","001","","16","3.531","43.8","18.8","37.5",".",".",".",".",".   
.",".",".",".",".",".",".","."
"620
Neuroethology Seminar","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"660
Neuroscience & Public Policy","001","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"735
Neurobiology of Disease","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"765
Developmental Neuroscience","001","","6","3.833","83.3",".","16.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"900
Neurosci Smr:Current Topics","001","","56","4.000","30.4",".",".",".",".",".",".","69.6
.",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","17","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","110","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","111","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","150","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","60","",".",".",".",".",".",".",".","98.3
.",".",".","1.7",".",".",".","."
