"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","15","3.909","93.3","",".","6.7","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","11","4.000","100.0","",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","29","3.953","96.6","",".","3.4","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","8","4.000","12.5","",".",".","",".","",".","",".","",".","87.5",".",".","",".","",".","",".",".",".","."
"Graduate","","61","4.000","65.6","",".",".","",".","",".","",".","",".","32.8","1.6",".","",".","",".","",".",".",".","."
"Prof Yr 3","","8","",".","",".",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","12","",".","",".",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Professionals","","20","",".","",".",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
