"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","114","3.681","42.1","42.1","7.0","0.9",".",".",".","7.9
.",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","010","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","28","3.435","32.1","21.4","25.0",".",".","3.6",".","17.9
.",".",".",".",".",".",".","."
"321
Physiology of Insects","001","","31","3.776","71.0","16.1","3.2",".",".","3.2",".","6.5
.",".",".",".",".",".",".","."
"350
Parasitology","001","","14","3.625","50.0","7.1","28.6",".",".",".",".","14.3
.",".",".",".",".",".",".","."
"473
Plant-Insect Interactions","001","","10","3.500","20.0","40.0","20.0",".",".",".",".","20.0
.",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"701
Advanced Taxonomy","001","","10","3.900","90.0",".","10.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"799
Pract-Entomology Teaching","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","13","4.000","92.3",".",".",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"901
Seminar: Organismal Entomol","001","","11","3.955","90.9","9.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","22","",".",".",".",".",".",".",".","59.1
.",".",".","40.9",".",".",".","."
