"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","103","3.867","76.7","10.7","1.9",".","1.0","1.0",".","6.8","1.9",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","125","003","16","3.786","62.5","12.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","137","3.841","73.0","10.2","7.3","1.5",".",".",".","6.6","1.5",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","134","001","496","3.639","45.0","32.9","9.3","1.6","0.2","0.8","0.4","9.1","0.8",".",".",".",".",".",".","."
"The Sociology of Gender","138","001","96","3.787","60.4","33.3","4.2",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","68","3.791","73.5","19.1","2.9","1.5",".",".","1.5","1.5",".",".",".",".",".",".",".","."
"Population Problems","170","001","493","3.863","72.8","22.1","2.2",".",".",".",".","2.4",".",".",".",".","0.4",".",".","."
"Intercultural Dialogues","205","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in ICD","206","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","58","3.654","53.4","22.4","10.3","1.7",".",".","1.7","5.2","5.2",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","64","3.642","53.1","23.4","15.6",".",".",".","1.6","4.7","1.6",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","63","3.819","71.4","12.7","4.8","1.6","1.6",".",".","7.9",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222","001","56","3.520","30.4","44.6","14.3",".",".",".","1.8","3.6","1.8",".",".",".",".",".","3.6","."
"Latin America-Introduction","260","001","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","3.500","22.2","50.0","22.2",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","320","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","109","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","135","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","194","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","209","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","20","3.956","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","64","3.871","71.9","14.1","4.7",".",".",".",".","4.7",".",".",".",".","1.6","3.1",".","."
"Stats for Sociologists I","360","001","47","3.598","48.9","23.4","8.5","4.3",".",".","2.1","6.4","4.3",".",".",".","2.1",".",".","."
"Stats for Sociologists II","361","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","20","3.583","40.0","30.0","15.0","5.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440","001","24","3.452","16.7","50.0","16.7","4.2",".",".",".","12.5",".",".",".",".",".",".",".","."
"Criminology","441","001","99","4.000","98.0",".",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","26","3.667","53.8","26.9",".","11.5",".",".",".","3.8","3.8",".",".",".",".",".",".","."
"Human Sexuality","453","001","36","3.517","36.1","19.4","16.7","8.3",".",".",".","19.4",".",".",".",".",".",".",".","."
"Intro-Social Psychology","456","001","12","4.000","91.7",".",".",".",".",".",".",".","8.3",".",".",".",".",".",".","."
"Sociodem Anal-Mexican Migratn","470","001","6","3.600","66.7",".",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"","475","002","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","475","003","22","3.705","40.9","45.5","4.5",".",".",".",".","4.5",".",".",".",".","4.5",".",".","."
"","475","004","12","3.500","16.7","16.7","16.7",".",".",".",".","41.7",".",".",".",".","8.3",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 330 of 447",""
