"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","20","3.698","60.0",".","25.0",".",".",".",".","10.0",".",".",".",".",".",".","5.0","."
"Introduction to Education","140
001","32","3.984","93.8","3.1",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","150
001","38","3.635","68.4","13.2","7.9",".","5.3",".","2.6","2.6",".",".",".",".",".",".",".","."
"","150
002","30","3.911","80.0","10.0","3.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","150
003","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","28","3.854","75.0","3.6","3.6",".","3.6",".",".","7.1","3.6",".",".",".","3.6",".",".","."
"Education and Public Policy","Course Total","117","3.814","76.9","9.4","4.3",".","2.6",".","0.9","4.3","0.9",".",".",".","0.9",".",".","."
"Youth, Education, and Society","210
001","116","3.969","92.2","4.3","0.9",".",".",".",".","0.9",".",".",".",".","1.7",".",".","."
"Human Rights and Education","220
001","46","3.967","93.5","2.2","2.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Comparative Education","240
001","34","3.882","82.4","14.7",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","25","3.795","80.0","4.0",".",".",".",".","4.0",".","4.0",".",".",".","8.0",".",".","."
"","300
002","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","69","3.947","88.4","4.3","2.9",".",".",".",".","1.4","2.9",".",".",".",".",".",".","."
"","300
005","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","187","3.948","92.0","2.7","1.6",".",".",".","0.5","0.5","1.6",".",".",".","1.1",".",".","."
"Globalization and Education","335
001","26","3.729","46.2","42.3","3.8",".",".",".",".",".","3.8",".",".",".","3.8",".",".","."
"Independent Reading","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412
001","68","3.655","47.1","26.5","7.4","2.9",".","1.5",".","13.2","1.5",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478
001","26","3.526","30.8","23.1","15.4",".","3.8",".",".","26.9",".",".",".",".",".",".",".","."
"Gender and Education","560
001","30","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Problems in Educ Pol","600
001","17","3.967","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Independent Reading","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Political Economy","745
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-based Spaces","810
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-History of Education","906
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-History of Education","907
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Anthropology&Education","970
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
