"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"638","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"638","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Topics-Computing","Course Total","","10","3.800","80.0","10.0",".","10.0",".",".",".",".  
.",".",".",".",".",".",".","."
"639","001","","76","3.292","21.1","14.5","13.2","11.8","1.3","1.3",".","26.3
10.5",".",".",".",".",".",".","."
"639","002","","25","3.762","60.0","16.0","4.0",".","4.0",".",".","16.0
.",".",".",".",".",".",".","."
"639","003","","41","3.833","70.7","17.1","7.3",".",".",".",".","4.9
.",".",".",".",".",".",".","."
"UG Elective Topic in Computing","Course Total","","142","3.579","42.3","15.5","9.9","6.3","1.4","0.7",".","18.3
5.6",".",".",".",".",".",".","."
"640
Intro to Computer Networks","001","","101","3.348","27.7","22.8","16.8","4.0","4.0","3.0",".","18.8
3.0",".",".",".",".",".",".","."
"642
Intro to Information Security","001","","74","3.574","31.1","40.5","6.8","2.7",".","1.4",".","13.5
2.7",".",".",".","1.4",".",".","."
"681","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"681","101","","1","***","","","","","","","","",".",".",".",".",".",".","."
"681","133","","1","***","","","","","","","","",".",".",".",".",".",".","."
"681","142","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","",""
"682","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"682","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","101","","4","***","","","","","","","","",".",".",".",".",".",".","."
"682","124","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","136","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","139","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"692
Senior Thesis","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","101","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","111","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","122","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","124","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","142","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","143","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","148","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","151","","1","***","","","","","","","","",".",".",".",".",".",".","."
