"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","","C","","D","F","","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"International Business","200
001","130","3.602","34.6","32.3","10.8",".","","",".","1.5","",".","17.7
3.1",".",".","",".","",".",".",".","."
"Intercultural Communctn in Bus","320
002","22","3.775","63.6","13.6","13.6",".","","",".",".","",".","4.5
.",".",".","",".","","4.5",".",".","."
"Global Issues in Management","403
001","9","3.714","44.4","22.2","11.1",".","","",".",".","",".","22.2
.",".",".","",".","",".",".",".","."
"Global Marketing Strategy","420
001","12","3.833","50.0","25.0",".",".","","",".",".","",".","25.0
.",".",".","",".","",".",".",".","."
"Multinational Bus Finance","445
001","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
001","26","3.981","96.2","3.8",".",".","","",".",".","",".",".   
.",".",".","",".","",".",".",".","."
"","765
002","10","3.778","50.0","40.0",".",".","","",".",".","",".","10.0
.",".",".","",".","",".",".",".","."
"","765
030","41","3.950","92.7",".","4.9",".","","",".",".","",".","2.4
.",".",".","",".","",".",".",".","."
"","765
040","51","3.943","86.3","11.8",".",".","","",".",".","",".","2.0
.",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","128","3.936","87.5","8.6","1.6","",".","",".",".","",".","2.3
.",".","",".","",".",".",".",".","."
"INTL BUS
235","Dept. Total","304","3.769","60.2","20.4","6.6","",".","",".","0.7","",".","10.5
1.3",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","3.600","27.3","27.3","13.6","",".","",".",".","",".","18.2
13.6",".","",".","",".",".",".",".","."
"Junior","","47","3.500","21.3","42.6","10.6","",".","",".","2.1","",".","23.4
.",".","",".","",".",".",".",".","."
"Senior","","102","3.738","52.9","22.5","7.8","",".","",".","1.0","",".","13.7
1.0",".","",".","",".","1.0",".",".","."
"Undergraduates","","171","3.661","40.9","28.7","9.4","",".","",".","1.2","",".","17.0
2.3",".","",".","",".","0.6",".",".","."
"Special","","6","3.400","16.7","33.3","33.3","",".","",".",".","",".","16.7
.",".","",".","",".",".",".",".","."
"Graduate","","127","3.936","88.2","8.7","1.6","",".","",".",".","",".","1.6
.",".","",".","",".",".",".",".","."
"","Dept. Total","304","3.769","60.2","20.4","6.6","",".","",".","0.7","",".","10.5
1.3",".","",".","",".","0.3",".",".","."
