"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"764
Heat Transfer I-Conduction","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"774
Chem Kinetics-Combust Sys","001","","8","3.571","25.0","50.0","12.5",".",".",".",".","12.5
.",".",".",".",".",".",".","."
"777
Vacuum Technology","001","","10","3.900","80.0","20.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"790","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","015","","5","***","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","034","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","041","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","048","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","051","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","054","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","056","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","057","","9","",".",".",".",".",".",".",".","22.2
11.1",".",".","66.7",".",".",".","."
"790","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","069","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","072","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","073","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","079","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","080","","3","***","","","","","","","","",".",".",".",".",".",".","."
"790","081","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","50","",".",".",".",".",".",".",".","78.0
2.0",".",".","20.0",".",".",".","."
"890","004","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","015","","8","",".",".",".",".",".",".",".","37.5
.",".",".","62.5",".",".",".","."
"890","016","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","020","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","022","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","027","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","028","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","034","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","039","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","041","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","048","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","051","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","054","","3","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 145 of 447",""
