"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"","133","001","64","3.679","53.1","15.6","17.2",".","1.6",".",".","12.5",".",".",".",".",".",".",".","."
"","133","002","148","3.793","63.5","18.2","5.4","2.7",".",".",".","8.8","1.4",".",".",".",".",".",".","."
"Genetics in the News","","Course Total","212","3.759","60.4","17.5","9.0","1.9","0.5",".",".","9.9","0.9",".",".",".",".",".",".","."
"","299","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","094","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","127","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","143","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","144","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","145","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Genetics","466","001","225","3.460","38.2","9.3","17.8","1.8","3.1","2.7",".","23.6","3.1",".",".",".",".",".","0.4","."
"General Genetics 2","468","001","110","3.235","23.6","14.5","20.9","10.0","4.5","1.8",".","23.6","0.9",".",".",".",".",".",".","."
"Advanced Laboratory Procedures","471","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution Seminar Series UG","522","001","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Epigenetics","525","001","24","3.659","58.3","8.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".","8.3","."
"Genetics Laboratory","545","001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomic Revolution","548","001","25","3.523","44.0","20.0","20.0",".",".","4.0",".","12.0",".",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt","550","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics & Proteomics","564","001","16","3.533","37.5","25.0","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Advanced Genetics","566","001","56","3.882","82.1","8.9","7.1",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"The Central Nervous System","568","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Breast","569","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Gastrointestinal System","574","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Miscellaneous Systems","575","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Effusions","576","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","577","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eukaryotic Molecular Biology","620","001","28","2.978","3.6","25.0","39.3","7.1",".","7.1",".","14.3",".",".",".",".",".",".",".","3.6"
"Animal Developmental Genetics","627","001","26","3.660","46.2","34.6","15.4",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Population Genetics","633","001","16","3.406","31.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Cancer Genetics","662","001","41","3.902","87.8","4.9","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","670","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","672","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Clinical Cytology","673","001","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Advanced Topics in Genetics","677","001","40","3.487","37.5","35.0","17.5","2.5",".",".","2.5","5.0",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","","Page 26 of 447"
