"IES","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1958","3.735","64.9","15.2","8.1","1.5","0.9","0.4","0.3","6.9
0.6",".","",".","0.4","0.5","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","66","3.577","47.0","18.2","19.7","1.5","3.0",".",".","9.1
1.5",".","",".",".",".",".",".","."
"Sophomore","","311","3.754","68.2","11.6","8.7","1.9","1.3",".","0.3","7.4
0.6",".","",".",".",".",".",".","."
"Junior","","410","3.739","64.6","15.6","9.3","1.7","0.5","0.5","0.2","5.1
1.0",".","",".",".","1.2","0.2",".","."
"Senior","","737","3.699","65.1","16.3","8.3","1.6","1.2","0.8","0.5","4.7
0.4",".","",".",".","0.7","0.3",".","."
"Undergraduates","","1524","3.716","64.8","15.2","9.1","1.7","1.1","0.5","0.4","5.6
0.7",".","",".",".","0.7","0.2",".","."
"Special","","22","3.561","31.8","4.5","9.1","4.5",".",".",".","45.5
.",".","",".",".",".",".","4.5","."
"Graduate","","412","3.866","66.7","15.5","4.4","0.7","0.2",".",".","10.0
0.2",".","",".","1.9",".",".","0.2","."
"","Dept. Total","1958","3.735","64.9","15.2","8.1","1.5","0.9","0.4","0.3","6.9
0.6",".","",".","0.4","0.5","0.2","0.1","."
