"L&S","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","7557","3.574","41.6","16.8","13.6","2.4","1.6","0.6","0.3","17.5
2.7","2.3","0.2","0.1","0.1","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","",""
"Freshmen","","202","3.511","37.1","16.3","14.4","1.5","2.5","1.0","0.5","17.8
7.4","1.0",".",".","0.5",".",".","."
"Sophomore","","1315","3.580","40.6","19.2","14.4","1.6","1.3","0.6","0.2","16.7
3.6","1.6","0.2",".","0.1",".",".","."
"Junior","","1870","3.570","39.6","17.4","15.9","1.7","1.4","0.4","0.3","16.8
2.6","3.4","0.2","0.1","0.1","0.1",".","0.1"
"Senior","","2788","3.491","37.1","17.0","16.2","3.7","2.1","0.9","0.5","16.9
2.9","2.5","0.1","0.1","0.0",".","0.0","."
"Undergraduates","","6175","3.533","38.6","17.6","15.7","2.6","1.7","0.7","0.4","16.8
3.1","2.5","0.2","0.0","0.1","0.0","0.0","0.0"
"Special","","268","3.594","53.0","14.9","9.7","4.5","2.2","1.9","0.4","7.5
2.6","1.9",".",".","0.7",".","0.4","0.4"
"Graduate","","1120","3.819","55.7","12.9","2.9","1.1","0.4","0.1","0.1","23.8
0.9","1.0","0.1","0.2","0.2","0.2","0.4","."
"","Dept. Total","7563","3.574","41.6","16.8","13.6","2.4","1.6","0.6","0.3","17.5
2.7","2.3","0.2","0.1","0.1","0.0","0.1","0.0"
