"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","15","3.633","73.3","6.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","115
012","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","20","3.816","70.0","15.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","115
021","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","115
024","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","6","3.700","50.0","16.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".","."
"","115
052","10","3.667","60.0","20.0",".",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"","115
053","11","3.111","18.2","27.3","18.2","9.1",".","9.1",".","9.1",".",".",".",".",".","9.1",".","."
"","115
054","12","3.045","16.7","25.0","33.3",".","8.3","8.3",".","8.3",".",".",".",".",".",".",".","."
"","115
055","7","3.667","42.9","28.6","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".","."
"","115
056","10","3.300","40.0","10.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","115
057","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Human Dev: Ed Effectiveness","Course Total","214","3.756","70.6","13.1","7.5","1.9","1.9","0.9",".","1.4","0.9",".",".",".","0.5","0.9","0.5","."
"","125
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","194","3.911","85.6","6.7","1.0","1.0","0.5","0.5",".","3.6","1.0",".",".",".",".",".",".","."
"","300
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
020","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","30","3.942","86.7","6.7","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin@ Mental Health","525
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mental Hlth: Prevent & Interv","531
001","42","3.915","88.1","4.8","2.4","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","620
005","48","3.978","93.8",".","2.1",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Clinical Communication Skills","655
001","107","3.905","85.0","8.4","3.7","0.9",".",".",".","1.9",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
040","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"Practicum Activities","700
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnic/Racial Social Dev","726
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","16","3.964","81.3","6.3",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
