"BIOSTATISTICS & MED INFORMA Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","",""
"542
Intro to Clinical Trials I","003","","28","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"567
Medical Image Analysis","001","","17","3.767","58.8","23.5",".","5.9",".",".",".","11.8
.",".",".",".",".",".",".","."
"609
Math Mthds for Systems Biology","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"741
Survival Analysis Thry & Mthds","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"768
Stat Mthds-Medical Image Anlys","001","","6","3.917","83.3","16.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"773
Clinical Research Informatics","007","","18","3.971","88.9","5.6",".",".",".",".",".",".   
.",".",".",".","5.6",".",".","."
"776
Advanced Bioinformatics","001","","15","3.929","80.0","13.3",".",".",".",".",".","6.7
.",".",".",".",".",".",".","."
"826","001","","9","3.722","44.4","55.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"826","014","","4","***","","","","","","","","",".",".",".",".",".",".","."
"826","038","","23","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","36","3.873","83.3","13.9",".",".",".",".",".","2.8
.",".",".",".",".",".",".","."
"882
Biomed DataSci Scholarly Lit 2","001","","10","3.900","90.0",".","10.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"899","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","018","","3","***","","","","","","","","",".",".",".",".",".",".","."
"899","023","","3","***","","","","","","","","",".",".",".",".",".",".","."
"899","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"899","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","18","4.000","83.3",".",".",".",".",".",".","5.6
.",".",".",".","11.1",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990
Dissertator Research","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
