"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"","990
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","","47","3.781","61.7","12.8","10.6","",".","",".","",".","",".","10.6","2.1",".","",".","",".","",".","2.1",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","7","3.500","28.6","28.6","28.6","",".","",".","",".","",".","14.3",".",".","",".","",".","",".",".",".","."
"Junior","","","10","3.730","70.0","10.0","20.0","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","","21","3.858","76.2","14.3","4.8","",".","",".","",".","",".",".","4.8",".","",".","",".","",".",".",".","."
"Undergraduates","","","38","3.760","65.8","15.8","13.2","",".","",".","",".","",".","2.6","2.6",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","8","4.000","50.0",".",".","",".","",".","",".","",".","37.5",".",".","",".","",".","",".","12.5",".","."
"","Dept. Total","","47","3.781","61.7","12.8","10.6","",".","",".","",".","",".","10.6","2.1",".","",".","",".","",".","2.1",".","."
