"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","Course Total","","77","3.353","22.1","29.9","6.5","13.0","3.9",".",".","24.7",".",".",".",".",".",".",".","."
"","406
001","","22","3.263","13.6","22.7","45.5","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"","406
002","","23","3.531","26.1","21.7","21.7",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","","45","3.386","20.0","22.2","33.3","2.2",".",".",".","22.2",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","72","3.972","93.1","5.6",".",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"","620
001","","33","3.685","36.4","39.4","6.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","620
002","","23","3.474","30.4","30.4","8.7","13.0",".",".",".","17.4",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","56","3.598","33.9","35.7","7.1","5.4",".",".",".","17.9",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","621
001","","20","3.556","40.0","20.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","630
001","","26","3.524","30.8","26.9","19.2","3.8",".",".",".","19.2",".",".",".",".",".",".",".","."
"","630
002","","22","3.850","68.2","18.2","4.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","","48","3.683","47.9","22.9","12.5","2.1",".",".",".","14.6",".",".",".",".",".",".",".","."
"","702
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","706
001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","15","3.846","66.7","13.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","29","3.833","69.0","17.2","6.9",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Managerial Accounting","710
040","","42","3.940","88.1","11.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","25","3.875","76.0","16.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Advanced Corporate Taxation","726
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","","34","3.629","52.9","8.8","29.4",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"","730
002","","30","3.750","63.3","13.3","16.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Advanced Assurance Services","Course Total","","64","3.686","57.8","10.9","23.4",".",".",".",".","7.8",".",".",".",".",".",".",".","."
"","765
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","28","3.731","53.6","28.6","10.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","765
003","","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","51","3.745","54.9","33.3","7.8",".",".",".",".","3.9",".",".",".",".",".",".",".","."
"","771
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","","26","3.920","84.6","7.7","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","Course Total","","38","3.946","89.5","5.3","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","","24","3.587","37.5","37.5","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","9","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
