"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","38","3.961","94.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","21","3.389","23.8","28.6","28.6",".","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"","170
002","16","3.136","12.5","18.8","31.3",".",".","6.3",".","31.3",".",".",".",".",".",".",".","."
"","170
003","12","3.650","50.0","8.3","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","49","3.385","26.5","20.4","28.6",".","2.0","2.0",".","20.4",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","111","3.606","43.2","25.2","11.7","3.6",".",".","0.9","15.3",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","187","3.644","43.9","19.3","17.6","0.5","0.5",".",".","18.2",".",".",".",".",".",".",".","."
"Dynamics","240
001","118","3.547","34.7","25.4","15.3","5.9",".",".",".","17.8","0.8",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"","306
001","77","3.540","33.8","28.6","15.6","2.6",".","1.3",".","18.2",".",".",".",".",".",".",".","."
"","306
003","86","3.595","38.4","30.2","14.0","2.3","1.2",".",".","10.5","3.5",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","163","3.569","36.2","29.4","14.7","2.5","0.6","0.6",".","14.1","1.8",".",".",".",".",".",".","."
"","307
001","9","3.500","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.556","40.0","20.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","307
003","12","3.591","41.7","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","307
004","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.500","22.2","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","307
008","9","3.563","11.1","77.8",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","307
009","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","12","3.800","58.3","16.7","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","307
011","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","10","3.750","50.0","20.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","307
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
015","7","3.500","14.3","28.6","14.3",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","133","3.697","48.9","30.8","11.3","0.8",".",".",".","8.3",".",".",".",".",".",".",".","."
"","313
001","66","3.583","27.3","31.8","12.1","1.5",".",".",".","27.3",".",".",".",".",".",".",".","."
"","313
002","57","3.573","28.1","40.4","15.8",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","123","3.578","27.6","35.8","13.8","0.8",".",".",".","22.0",".",".",".",".",".",".",".","."
"","314
001","77","3.537","26.0","41.6","19.5",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","314
002","57","3.512","21.1","36.8","12.3","3.5",".",".",".","26.3",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","134","3.528","23.9","39.6","16.4","1.5",".",".",".","18.7",".",".",".",".",".",".",".","."
"Computer-Aided Engineering","331
001","81","3.688","55.6","14.8","14.8","3.7",".",".",".","9.9",".",".",".",".","1.2",".",".","."
"Dynamic Systems","340
001","101","3.642","46.5","18.8","9.9","3.0","1.0","1.0",".","18.8","1.0",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","105","3.712","58.1","27.6","2.9","3.8","1.0","1.0",".","5.7",".",".",".",".",".",".",".","."
