"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"FOOD SCIENCE","","Section
#","Ave","A","AB","B","BC","C","D","","F","","S/SD U/UD","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"390","FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"390","FOOD SCI","416
Dept. Total","3.536","44.7","11.1","10.3","1.4","2.2","",".","",".","20.4","1.4","7.5","",".","0.5","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S/SD","U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"390","FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","7","",".",".",".",".",".","",".","",".",".",".","100.0","",".",".",".",".",".","."
