"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100","001","160","3.138","18.8","17.5","14.4","5.0","10.0","1.9","0.6","28.1","3.8",".",".",".",".",".",".","."
"","116","001","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","","Course Total","48","3.781","64.6","27.1","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","93","3.824","77.4","15.1","3.2",".",".","2.2",".","2.2",".",".",".",".",".",".",".","."
"Living well: LIfestyle balance","123","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125","001","20","",".",".",".",".",".",".",".","95.0",".",".",".",".",".",".","5.0","."
"","125","002","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"","125","003","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","004","17","",".",".",".",".",".",".",".","88.2",".",".",".",".",".",".","11.8","."
"","125","005","20","4.000","5.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".","5.0","."
"Adapted Fitness&Pers Traing","","Course Total","90","4.000","1.1",".",".",".",".",".",".","93.3",".",".",".",".",".",".","5.6","."
"Intro to Athletic Training","127","001","40","3.382","32.5","27.5","12.5","2.5","7.5","2.5",".","12.5","2.5",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140","001","18","3.941","88.9",".","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Choosing To Move","145","001","18","3.500","55.6","11.1","16.7","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"Fndations:Hlth Behavior Equity","150","001","86","3.912","81.4","17.4",".",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"Technique-Athletic Training","197","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","227","001","35","3.667","48.6","28.6","17.1",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"","300","001","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","300","002","54","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","73","4.000","98.6",".",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Physiology of Exercise","314","001","62","3.644","48.4","29.0","16.1",".","1.6",".",".","4.8",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","63","3.304","20.6","28.6","17.5","11.1","1.6","1.6",".","19.0",".",".",".",".",".",".",".","."
"","325","001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325","002","24","3.978","91.7","4.2",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","","Course Total","46","3.967","93.5","2.2","2.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Curr Topic-Outdoor Pursuits","327","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","51","3.918","82.4","11.8","2.0",".",".",".",".","3.9",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","38","3.625","39.5","31.6","10.5",".","2.6",".",".","15.8",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies I","357","001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","30","3.966","93.3",".","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","29","3.741","69.0","6.9","13.8",".","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth & Prac of Games & Fitness","372","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 106 of 447",""
