"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","112
001","28","3.050","21.4","7.1","25.0","7.1","7.1",".","3.6","28.6",".",".",".",".",".",".",".","."
"","112
002","29","3.000","13.8","20.7","27.6",".","10.3","6.9",".","20.7",".",".",".",".",".",".",".","."
"","112
003","26","3.357","34.6","11.5","23.1","7.7",".","3.8",".","15.4","3.8",".",".",".",".",".",".","."
"","112
004","31","3.104","16.1","22.6","25.8",".","9.7",".","3.2","16.1","6.5",".",".",".",".",".",".","."
"","112
005","29","3.214","20.7","17.2","27.6",".","3.4",".","3.4","27.6",".",".",".",".",".",".",".","."
"","112
006","29","3.325","20.7","17.2","20.7","6.9","3.4",".",".","31.0",".",".",".",".",".",".",".","."
"Algebra","Course Total","172","3.171","20.9","16.3","25.0","3.5","5.8","1.7","1.7","23.3","1.7",".",".",".",".",".",".","."
"","113
001","44","3.414","15.9","45.5","9.1","6.8","2.3",".",".","20.5",".",".",".",".",".",".",".","."
"","113
002","44","3.421","22.7","36.4","20.5","4.5","2.3",".",".","9.1","2.3",".",".",".",".","2.3",".","."
"","113
003","45","3.514","31.1","26.7","15.6","6.7",".",".",".","20.0",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","133","3.450","23.3","36.1","15.0","6.0","1.5",".",".","16.5","0.8",".",".",".",".","0.8",".","."
"Algebra and Trigonometry","114
001","76","3.048","28.9","5.3","31.6","2.6","5.3","6.6","2.6","9.2","5.3",".",".",".","2.6",".",".","."
"","130
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math for","Course Total","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math for Tchng: Geom&Measrmnt","131
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","132
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Reasong-Teachng Math","135
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematics for Teaching","138
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","45","3.347","20.0","33.3","15.6","8.9",".","2.2",".","20.0",".",".",".",".",".",".",".","."
"","211
001","269","3.228","14.1","20.8","16.7","5.2","2.6","2.6",".","35.7","2.2",".",".",".",".",".",".","."
"","211
002","267","3.412","21.3","26.6","15.0","5.2","1.5","0.7",".","26.6","3.0",".",".",".",".",".",".","."
"Calculus","Course Total","536","3.325","17.7","23.7","15.9","5.2","2.1","1.7",".","31.2","2.6",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","213
001","194","3.496","25.3","23.2","12.9","1.0","1.0","1.5",".","29.9","4.6",".",".",".",".","0.5",".","."
"Calc with Algebra & Trig II","217
001","256","3.354","28.9","13.7","32.4","3.5","1.6","1.2","0.4","12.9","5.5",".",".",".",".",".",".","."
"","221
001","243","3.179","30.5","8.2","28.4","2.1","6.6","4.9","0.8","15.2","3.3",".",".",".",".",".",".","."
"","221
002","297","3.712","66.0","7.4","16.5","1.0","1.3","0.3","0.3","6.4","0.7",".",".",".",".",".",".","."
"Calculus&Analytic Geometry 1","Course Total","540","3.489","50.0","7.8","21.9","1.5","3.7","2.4","0.6","10.4","1.9",".",".",".",".",".",".","."
"","222
001","209","3.263","21.1","12.4","24.4","4.3","1.0","3.3",".","29.2","4.3",".",".",".",".",".",".","."
"","222
002","242","3.146","16.1","10.7","24.4","1.2","5.4","2.1","0.8","33.9","5.0",".",".",".","0.4",".",".","."
"","222
003","243","3.207","21.4","10.3","26.7","3.3","3.7","2.9","0.4","24.7","6.2",".",".",".",".",".",".","0.4"
"","222
004","269","3.423","30.5","15.2","26.8","1.5","1.9","0.4","0.7","21.9","1.1",".",".",".",".",".",".","."
"Calculus&Analytic Geometry 2","Course Total","963","3.273","22.5","12.3","25.6","2.5","3.0","2.1","0.5","27.2","4.0",".",".",".","0.1",".",".","0.1"
"","228
033","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
036","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES Calculus Supplement","Course Total","28","3.893","82.1","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","234
001","232","3.478","40.9",".","36.6",".","2.6",".",".","19.8",".",".",".",".",".",".",".","."
"","234
002","253","3.380","30.0","9.9","25.3","3.2","2.4","1.2","0.4","22.9","4.7",".",".",".",".",".",".","."
"","234
003","273","3.848","83.5","3.7","7.7",".",".","0.7","0.7","2.2","1.5",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","758","3.604","52.6","4.6","22.4","1.1","1.6","0.7","0.4","14.5","2.1",".",".",".",".",".",".","."
"","240
001","98","3.553","32.7","28.6","10.2","1.0","4.1",".",".","18.4","3.1",".",".",".","1.0",".","1.0","."
