"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"890","032","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","035","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","037","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","038","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","045","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","051","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","052","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","060","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","062","","5","***","","","","","","","","",".",".",".",".",".",".","."
"890","063","","7","",".",".",".",".",".",".",".","14.3
.",".",".","85.7",".",".",".","."
"890","066","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","070","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","093","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","094","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","102","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","103","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","104","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","105","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","107","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","98","",".",".",".",".",".",".",".","77.6
.",".",".","22.4",".",".",".","."
"901
Special Topics in ECE","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","004","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 129 of 447",""
