"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","",""
"602
Topics in Human Factors","00A","","1","***","","","","","","","","",".",".",".",".",".",".","."
"612
Info Sensing&Anal-Manufacturng","001","","11","3.909","81.8","18.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"615","001","","13","3.792","53.8","38.5",".",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"615","003","","20","3.975","95.0","5.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Production Systems Control","Course Total","","33","3.906","78.8","18.2",".",".",".",".",".","3.0
.",".",".",".",".",".",".","."
"620
Simulation Modeling & Analysis","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"632
Intro-Stochastic Processes","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","7","3.714","42.9","57.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","074","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","3.978","84.2",".","5.3",".",".",".",".","10.5
.",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"708
Soc Risk Mgmt-Tech Hazards","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"719
Stochastic Programming","001","","11","3.929","54.5","9.1",".",".",".",".",".","36.4
.",".",".",".",".",".",".","."
"723
Dynamic Prog & Assoc Topics","001","","9","3.917","55.6","11.1",".",".",".",".",".","33.3
.",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"728
Integer Optimization","001","","18","3.700","50.0","16.7","16.7",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","9","3.944","88.9","11.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","2","***","","","","","","","","","","","","","","",""
"859
Topics-Human Factors Engr","001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","031","","3","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 139 of 447",""
