"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","100
045","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
047","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","18","3.735","83.3",".",".","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","100
050","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","19","3.917","78.9","15.8",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","100
053","19","3.944","84.2","10.5",".",".",".",".",".",".","5.3",".",".",".",".",".",".","."
"","100
054","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","100
061","18","3.882","72.2","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","100
062","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
065","19","3.889","78.9","10.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","100
066","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","100
067","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to College Composition","Course Total","1146","3.938","91.5","4.9","1.1","0.2","0.4","0.3","0.1","0.9","0.3",".",".",".","0.2",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","155","3.856","74.8","15.5","5.2","0.6",".",".",".","3.2",".",".",".",".","0.6",".",".","."
"Comm B Topics in English Lit","140
001","169","3.958","94.7","2.4","0.6",".",".",".","0.6","1.8",".",".",".",".",".",".",".","."
"Science Fiction and Fantasy","141
001","17","3.750","82.4",".",".",".","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"Women's Writing","144
001","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","89","3.794","60.7","30.3","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Literature and the Environment","153
001","151","3.885","76.2","16.6","2.6",".",".",".",".","3.3",".",".",".",".","0.7","0.7",".","."
"","155
001","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8"
"","155
002","35","3.929","94.3","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Myth and Literature","Course Total","61","3.958","95.1","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".",".","1.6"
"Literature and Medicine","156
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","162
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Literature","168
001","24","3.500","58.3","12.5","4.2","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"Literatures of Native America","172
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Social Justice","174
001","16","3.923","68.8","12.5",".",".",".",".",".","6.3",".",".",".",".","12.5",".",".","."
"Topics in Literature and Film","176
001","187","3.846","75.9","14.4","2.1","2.1","1.1",".",".","3.2","1.1",".",".",".",".",".",".","."
"","177
001","181","3.444","26.0","24.9","24.3","2.8","1.7",".",".","19.3","1.1",".",".",".",".",".",".","."
"","177
002","24","3.800","54.2","25.0","4.2",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Literature and Popular Culture","Course Total","205","3.488","29.3","24.9","22.0","2.4","1.5",".",".","19.0","1.0",".",".",".",".",".",".","."
"Digital Media, Lit, Culture","178
001","260","3.941","88.1","8.8","0.8","0.4",".",".",".","0.8","1.2",".",".",".",".",".",".","."
"","182
001","17","3.500","17.6","35.3","17.6",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"","182
002","20","3.684","35.0","60.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Literature for Honors","Course Total","37","3.613","27.0","48.6","8.1",".",".",".",".","16.2",".",".",".",".",".",".",".","."
"Writing Studio","200
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 228 of 447",""
