"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"Sr Honors Thesis in Major","Course Total","","2","***","","","","","","","","","","","","","","",""
"692
Senior Thesis","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"695","001","","12","3.917","83.3","16.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"695","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"695","003","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"695","004","","11","3.909","90.9",".","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"695","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"695","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Creative Writing","Course Total","","38","3.947","92.1","5.3","2.6",".",".",".",".",".  
.",".",".",".",".",".",".","."
"699","097","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","112","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","113","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","114","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","122","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"702
Perspectives on Literacy","001","","15","4.000","86.7",".",".",".",".",".",".",".   
.",".",".",".","13.3",".",".","."
"706
Special Topics-Compositn Thry","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"709
Adv Eng Phonology","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"713
Topc-Contmp English Linguis","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"715
Adv Second Lang Acquisition","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"780
Creative Writing:Grad Wkshp","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"782
Graduate Poetry Workshop","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"785","034","","2","***","","","","","","","","",".",".",".",".",".",".","."
"785","049","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"785","136","","2","***","","","","","","","","",".",".",".",".",".",".","."
"785","137","","2","***","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"795","001","","22","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"795","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"One-credit Seminar","Course Total","","24","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"799","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","094","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","106","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","111","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","114","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","",""
"803
Topics in Medieval Literature","001","","6","4.000","83.3",".",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"804
Topics in Early Modern Lit","001","","8","4.000","87.5",".",".",".",".",".",".",".   
.",".",".",".","12.5",".",".","."
"808
Topics in Modernism","001","","12","3.833","66.7","33.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"813
World/Postcolonial Lit-English","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"817
Seminar-American Literature","001","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 231 of 447",""
