"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","50","3.451","26.0","32.0","20.0","2.0",".","2.0",".","12.0
2.0",".",".",".",".","4.0",".","."
"299","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","007","","4","***","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"315
Plant Microbiomes","001","","25","3.717","68.0","8.0","8.0","4.0","4.0",".",".","4.0
.",".",".",".",".","4.0",".","."
"332
Fungi","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"375","001","","23","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"375","002","","24","3.979","95.8","4.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"375","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"375","005","","19","3.750","47.4","15.8","10.5",".",".",".",".","26.3
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","69","3.914","82.6","7.2","2.9",".",".",".",".","7.2
.",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","12","3.875","75.0","25.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"590
Capstone in Plant Pathology","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","039","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Pract-Plant Pathology Tchg","Course Total","","4","***","","","","","","","","","","","","","","",""
"923
Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 38 of 447"
