"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Adv Anesthlgy/Crit Care Med","743
001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","","15","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","","24","4.000","70.8",".",".",".",".",".",".","29.2
.",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","","30","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"","775
001","","18","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","775
002","","11","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"","775
003","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Externship","Course Total","","35","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"SURG SCI
938","Dept. Total","","1295","3.673","42.3","8.1","9.1","1.2","0.8",".",".","38.5
.",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
