"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","","","","","",""
"890","034","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"890","042","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"890","073","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"890","074","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","33","","",".","",".","",".",".","",".","",".","",".","97.0
.",".",".","3.0",".",".",".","."
"990","028","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","","",".","",".","",".",".","",".","",".","",".","90.0
.",".",".","10.0",".",".",".","."
