"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"2nd Semester Portuguese","102","002","","11","3.650","54.5","9.1","27.3",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"4th Semester Portuguese","202","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".   
.",".",".",".",".","16.7",".","."
"4th Yr Compositn & Conversatn","312","001","","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"History of Portuguese Language","330","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","573","00A","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"","899","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"","899","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","2","***","","","","","","","","","","","","","","",""
"","990","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","3","***","","","","","","","","","","","","","","",""
"PORTUG
782","","Dept. Total","","47","3.781","61.7","12.8","10.6",".",".",".",".","10.6
2.1",".",".",".",".","2.1",".","."
