"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","107","3.163","25.2","17.8","13.1","6.5","7.5","2.8","1.9","20.6","4.7",".",".",".",".",".",".","."
"","101
002","218","3.160","24.3","10.1","21.6","4.1","5.5","3.2","1.4","21.1","8.7",".",".",".",".",".",".","."
"Animal Biology","Course Total","325","3.161","24.6","12.6","18.8","4.9","6.2","3.1","1.5","20.9","7.4",".",".",".",".",".",".","."
"","102
001","10","3.714","50.0","10.0",".","10.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"","102
002","8","3.500","25.0","25.0","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","102
003","8","3.500","37.5","12.5","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","102
004","10","3.778","60.0","20.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".","."
"","102
005","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","12","3.455","25.0","33.3","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","102
007","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","10","3.438","30.0","10.0","40.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","102
010","9","3.375","11.1","44.4","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102
011","9","3.500","22.2","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102
012","10","3.625","50.0",".","30.0",".",".",".",".","10.0","10.0",".",".",".",".",".",".","."
"","102
013","12","3.500","33.3","8.3","16.7","8.3",".",".",".","33.3",".",".",".",".",".",".",".","."
"","102
014","10","3.556","50.0","10.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","102
015","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","10","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","102
017","10","3.333","30.0","20.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","102
018","11","3.688","36.4","27.3","9.1",".",".",".",".","9.1","18.2",".",".",".",".",".",".","."
"","102
019","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","10","3.350","40.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","195","3.573","42.1","21.0","21.5","1.5","1.5",".",".","10.3","2.1",".",".",".",".",".",".","."
"General Botany","130
001","14","3.423","50.0","7.1","21.4",".","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","291","3.189","20.3","6.9","37.8","2.1","6.9","0.3","0.3","22.7","2.4",".",".",".",".","0.3",".","."
"","152
001","211","3.559","45.0","15.2","24.6","2.4","0.9","0.5",".","8.5","2.4",".",".",".","0.5",".",".","."
"","152
002","219","3.612","51.6","13.7","26.9","0.5","0.9",".",".","6.4",".",".",".",".",".",".",".","."
"","152
003","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","13","3.727","61.5",".","23.1",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","152
005","15","3.786","60.0","26.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","152
006","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
007","14","3.792","57.1","21.4","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","152
008","16","3.667","50.0","25.0","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","152
009","18","3.706","55.6","22.2","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","152
010","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
011","18","3.588","38.9","33.3","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","574","3.617","50.3","16.0","23.7","1.0","0.7","0.2",".","7.0","0.9",".",".",".","0.2",".",".","."
"Evolution Seminar Series UG","522
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
